Question,Products_name
три вида картофеля,"[""Картофель из печи"",""Картофель из печи с сырным соусом Big"",""Картофельные оладьи""]"
burger and dessert,"[""Бруслетики"",""Бургер-пицца Medium""]"
"Что-нибудь с печеньем, можно например коктейль ","[""Коктейль с Орео 0.3""]"
острая закуска и острая пицца маленькая,"[""Острый Додстер"",""Пепперони Small""]"
для двух детей и одну итальянскую пиццу,"[""Двойной цыпленок Small"",""Маргарита Small""]"
пиццу чтобы заесть грусть,"[""Ветчина и сыр Small""]"
Dodo Small,"[""Додо Small""]"
поесть вечером после трудного дня,"[""Добрый Кола Big"",""Додстер"",""Ветчина и сыр Small""]"
хочу позавтракать с кофе,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
"Сироп кокосовый 0,4 Big","[""Сироп кокосовый 0,4 Big""]"
три разных кофе,"[""Кофе Капучино 0.4"",""Кофе Латте 0.4"",""Кофе Американо""]"
Дрип кофе,"[""Дрип кофе""]"
закуска морс и пицца с соусом,"[""Додстер"",""Морс Клюква 0.45"",""Сырный соус Додо"",""Четыре сезона  Small""]"
big cola and eat a little,"[""Добрый Кола Big"",""Дэнвич чоризо барбекю""]"
two without onions in tomato sauce,"[""Ветчина и грибы Medium"",""Мясная Medium""]"
есть что-то молочное?,"[""Коктейль Клубничный 0.3"",""Сырники с малиновым вареньем""]"
Фартук «Pizza is my Credodo»,"[""Фартук «Pizza is my Credodo»""]"
Таежный чай 0.3,"[""Таежный чай 0.3""]"
"мне грустно, хочу чего-нибудь шоколадное","[""Фондан""]"
"с ветчиной, картошку","[""Ветчина и грибы Medium"",""Картофель из печи""]"
Hawaiian with Alfredo Small,"[""Гавайская с альфредо Small""]"
"Мне на двух человек пиццу с грибами и колбасками, не острую","[""Додо Large""]"
комбо пицц попробовать одна чтобы была с сыром,"[""Двойной цыпленок Small"",""Пепперони Фреш Small"",""Сырная Small""]"
Цыпленок ранч Small,"[""Цыпленок ранч Small""]"
Напиток Черноголовка Дюшес 0.5,"[""Напиток Черноголовка Дюшес 0.5""]"
Овощная Римская (4 кусочка) Small,"[""Овощная Римская (4 кусочка) Small""]"
"Привет, хочу купить сытную пиццу с сыром","[""Сырная Medium""]"
mushroom pizza with chicken for three,"[""Пицца Жюльен Medium""]"
Она шавуха на одного человек . И что у вас есть новенькое в меню?,"[""Додстер"",""Манго-шейк (NEW) 0.3""]"
Круассан с миндальным кремом Тест СПб,"[""Круассан с миндальным кремом Тест СПб""]"
Ветчина и грибы Medium,"[""Ветчина и грибы Medium""]"
"хочу острого, не только пиццу","[""Аррива! Medium"",""Дэнвич чоризо барбекю""]"
4 Snacks,"[""Грибной Стартер"",""Додстер"",""Грибной Стартер"",""Додстер""]"
Погнали! Додстер и арриву,"[""Аррива! Medium"",""Додстер""]"
Кус Пепперони фреш (фудкорт),"[""Кус Пепперони фреш (фудкорт)""]"
острую закуску и неострую пиццу,"[""Острый Додстер"",""Пепперони Medium""]"
Фирменные пиццы на четырех человек,"[""Додо Large"",""Пицца от шефа Large""]"
десерт с орехами,"[""Додо тарт 80.0""]"
с грибами не только пиццу,"[""Ветчина и грибы Medium"",""Грибной Стартер""]"
2 Кофе: Латте ,"[""Кофе Латте 0.4"",""Кофе Латте 0.4""]"
пиццу где много сыра и что-то с мясом,"[""Супермясной Додстер"",""Сырная Small""]"
3 pizzas from 849 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
перекусть чуть-чуть необычный вкус и каппучино,"[""Дэнвич чоризо барбекю"",""Кофе Капучино 0.4""]"
хочу очень вкусную и крутую пиццу из всех,"[""Пицца от шефа Large""]"
новый нежный десерт тирамису,"[""Тирамису NEW""]"
4 pizzas with different sizes with less meat and more vegetables or cheese,"[""Пепперони Фреш Medium"",""Песто Small"",""Сырная Medium"",""Чоризо фреш Medium""]"
два врапа и одна закуска для двоих,"[""Додстер"",""Острый Додстер"",""Сырный Стартер""]"
vodka or beer,"[""Морс Вишня  0.45""]"
Дэнвич чоризо барбекю,"[""Дэнвич чоризо барбекю""]"
Пицца 30 см и 2 напитка,"[""Добрый Кола Small"",""Добрый Кола Small"",""Пепперони Фреш Medium""]"
